uloha_1 a),uloha_1 b)_prior,skupina,uloha_1 b)_pozorování
2,"3,6347854288",0,"3,6266560686"
2,"2,8681128584",0,"3,0082685333"
1,"2,1491600683",0,"2,9898291253"
3,"4,2630654823",0,"2,3716297017"
0,"2,594744969",0,"4,0093657802"
1,"2,5922840785",0,"4,6005470966"
1,"5,0218155209",0,"4,3834246634"
3,"3,1299638274",0,"1,8299165273"
2,"3,850484758",0,"4,7946788172"
2,"4,4830244611",0,"2,1349145445"
3,"2,8764532217",1,"3,7690484272"
1,"3,495586101",1,"2,4117520138"
5,"3,0981427368",1,"3,3673024338"
3,"4,2095414561",1,"4,7189663239"
1,"4,3924358627",1,"5,4154116164"
1,"3,0323673109",1,"2,6245051575"
2,"3,8829117567",1,"3,030301875"
1,"3,9803156059",1,"2,3693261028"
1,"3,7686249046",1,"1,6530856398"
1,"3,9276686228",1,"2,3193954958"
2,"1,3920197111",2,"2,1624842801"
3,"1,2944960099",2,"1,4413108278"
2,"3,6501550679",2,"3,2058936439"
0,"3,6906286688",2,"2,7344446196"
3,"3,09520043",2,"4,2359076137"
1,"1,8134413591",2,"1,8195824646"
2,"5,8271017777",2,"2,4109860555"
1,"4,5305058974",2,"3,4619357202"
5,"3,5499958679",2,"2,1366026341"
1,"2,216497627",2,"3,6512748572"
0,"3,2282473807",3,"3,7236837945"
0,"3,6215179742",3,"2,7705949971"
2,"2,880648484",3,"2,1448984768"
1,"4,5317231064",3,"4,4308145851"
1,"2,9410750129",3,"2,2322063424"
0,"1,8642628128",3,"2,9854540958"
0,"2,2034579521",3,"2,9171028517"
1,"1,8063507338",3,"2,1935622925"
3,"3,25159661",3,"4,1126458783"
1,"3,442614264",3,"4,1056538269"
0,"2,5107478533",4,"1,6888002023"
1,"5,4617278038",4,"2,4526631834"
2,"3,6240298215",4,"3,7146115631"
0,"4,1927325789",4,"3,0904693811"
1,"4,6878886753",4,"1,446901331"
3,"2,8416673326",4,"3,6996654551"
0,"3,8401087926",4,"2,3183292084"
1,"3,2154930844",4,"3,1678117922"
1,"3,0396517926",4,"3,7763584254"
4,"2,4416298303",4,"2,916097661"
1,"1,8752483022",5,"3,1656636499"
2,"2,6460985538",5,"2,8593952603"
1,"2,5853640706",5,"2,3564704327"
1,"3,2144880395",5,"2,7911320803"
2,"4,0581869536",5,"2,4500794453"
4,"3,6957590956",5,"4,1699024493"
2,"5,686077596",5,"2,6181564928"
2,"2,9841599984",5,"3,9520100819"
3,"4,173673116",5,"1,1780056741"
4,"1,6504003631",5,"2,8904349371"
4,"2,4888966774",6,"4,3619770235"
4,"3,0193542595",6,"1,1098653735"
0,"3,6268265466",6,"2,6627324548"
2,"4,1194756585",6,"1,0658947692"
0,"4,0179880904",6,"2,7281857568"
0,"2,7467871544",6,"1,8302720393"
3,"3,5139590543",6,"4,0514577029"
5,"3,9028238959",6,"2,8401691539"
1,"2,7606905967",6,"2,21989614"
2,"2,357667396",6,"3,0249474028"
1,"3,3548653238",7,"2,0833472355"
0,"2,818874595",7,"2,4186153295"
1,"4,4034499732",7,"1,7470218157"
1,"6,1390955485",7,"3,073642168"
4,"3,4810994568",7,"1,9573167328"
1,"2,4176512608",7,"2,2912907113"
1,"3,5439245095",7,"1,4169757935"
3,"3,3207763103",7,"2,100436922"
0,"4,8017519959",7,"3,5478532764"
1,"2,753499738",7,"5,6828197081"
2,"3,3880994082",8,"4,2050936115"
2,"4,2127149172",8,"4,3815825692"
2,"3,1575975506",8,"3,0128177562"
3,"1,8985393835",8,"2,4513856421"
